#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
501,en-swsh11tg-TG11,swsh11tg-TG11,Castform,Lost Origin Trainer Gallery,TG11,30,Rare,Castform Lost Origin Trainer Gallery TG11/30 pokemon card,,,
688,en-2018sm-4,2018sm-4,Pikachu,McDonald's Collection 2018,4,12,None,Pikachu McDonald's Collection 2018 4/12 pokemon card,,,
689,en-2018sm-5,2018sm-5,Slowpoke,McDonald's Collection 2018,5,12,None,Slowpoke McDonald's Collection 2018 5/12 pokemon card,,,
690,en-2018sm-6,2018sm-6,Machop,McDonald's Collection 2018,6,12,None,Machop McDonald's Collection 2018 6/12 pokemon card,,,
691,en-2018sm-7,2018sm-7,Cubone,McDonald's Collection 2018,7,12,None,Cubone McDonald's Collection 2018 7/12 pokemon card,,,
692,en-2018sm-8,2018sm-8,Magnemite,McDonald's Collection 2018,8,12,None,Magnemite McDonald's Collection 2018 8/12 pokemon card,,,
693,en-2018sm-9,2018sm-9,Dratini,McDonald's Collection 2018,9,12,None,Dratini McDonald's Collection 2018 9/12 pokemon card,,,
694,en-2019sm-1,2019sm-1,Surprise Attack,McDonald's Collection 2019,1,12,None,Surprise Attack McDonald's Collection 2019 1/12 pokemon card,,,
695,en-2019sm-10,2019sm-10,Spoil the Fun,McDonald's Collection 2019,10,12,None,Spoil the Fun McDonald's Collection 2019 10/12 pokemon card,,,
696,en-2019sm-11,2019sm-11,Gold Rush,McDonald's Collection 2019,11,12,None,Gold Rush McDonald's Collection 2019 11/12 pokemon card,,,
697,en-2019sm-12,2019sm-12,Gnaw,McDonald's Collection 2019,12,12,None,Gnaw McDonald's Collection 2019 12/12 pokemon card,,,
698,en-2019sm-2,2019sm-2,Tropical Shake,McDonald's Collection 2019,2,12,None,Tropical Shake McDonald's Collection 2019 2/12 pokemon card,,,
699,en-2019sm-3,2019sm-3,Controlled Burn,McDonald's Collection 2019,3,12,None,Controlled Burn McDonald's Collection 2019 3/12 pokemon card,,,
700,en-2019sm-4,2019sm-4,Fury Swipes,McDonald's Collection 2019,4,12,None,Fury Swipes McDonald's Collection 2019 4/12 pokemon card,,,
701,en-2019sm-5,2019sm-5,Aqua Bullet,McDonald's Collection 2019,5,12,None,Aqua Bullet McDonald's Collection 2019 5/12 pokemon card,,,
702,en-2019sm-6,2019sm-6,Iron Tail,McDonald's Collection 2019,6,12,None,Iron Tail McDonald's Collection 2019 6/12 pokemon card,,,
703,en-2019sm-7,2019sm-7,Ominous Eyes,McDonald's Collection 2019,7,12,None,Ominous Eyes McDonald's Collection 2019 7/12 pokemon card,,,
704,en-2019sm-8,2019sm-8,Three-Step Strike,McDonald's Collection 2019,8,12,None,Three-Step Strike McDonald's Collection 2019 8/12 pokemon card,,,
705,en-2019sm-9,2019sm-9,Screech,McDonald's Collection 2019,9,12,None,Screech McDonald's Collection 2019 9/12 pokemon card,,,
706,en-2021swsh-1,2021swsh-1,Bulbasaur,McDonald's Collection 2021,1,25,None,Bulbasaur McDonald's Collection 2021 1/25 pokemon card,,,
707,en-2021swsh-10,2021swsh-10,Cyndaquil,McDonald's Collection 2021,10,25,None,Cyndaquil McDonald's Collection 2021 10/25 pokemon card,,,
708,en-2021swsh-11,2021swsh-11,Torchic,McDonald's Collection 2021,11,25,None,Torchic McDonald's Collection 2021 11/25 pokemon card,,,
709,en-2021swsh-12,2021swsh-12,Chimchar,McDonald's Collection 2021,12,25,None,Chimchar McDonald's Collection 2021 12/25 pokemon card,,,
710,en-2021swsh-13,2021swsh-13,Tepig,McDonald's Collection 2021,13,25,None,Tepig McDonald's Collection 2021 13/25 pokemon card,,,
711,en-2021swsh-14,2021swsh-14,Fennekin,McDonald's Collection 2021,14,25,None,Fennekin McDonald's Collection 2021 14/25 pokemon card,,,
712,en-2021swsh-15,2021swsh-15,Litten,McDonald's Collection 2021,15,25,None,Litten McDonald's Collection 2021 15/25 pokemon card,,,
713,en-2021swsh-16,2021swsh-16,Scorbunny,McDonald's Collection 2021,16,25,None,Scorbunny McDonald's Collection 2021 16/25 pokemon card,,,
714,en-2021swsh-17,2021swsh-17,Squirtle,McDonald's Collection 2021,17,25,None,Squirtle McDonald's Collection 2021 17/25 pokemon card,,,
715,en-2021swsh-18,2021swsh-18,Totodile,McDonald's Collection 2021,18,25,None,Totodile McDonald's Collection 2021 18/25 pokemon card,,,
716,en-2021swsh-19,2021swsh-19,Mudkip,McDonald's Collection 2021,19,25,None,Mudkip McDonald's Collection 2021 19/25 pokemon card,,,
717,en-2021swsh-2,2021swsh-2,Chikorita,McDonald's Collection 2021,2,25,None,Chikorita McDonald's Collection 2021 2/25 pokemon card,,,
718,en-2021swsh-20,2021swsh-20,Piplup,McDonald's Collection 2021,20,25,None,Piplup McDonald's Collection 2021 20/25 pokemon card,,,
719,en-2021swsh-21,2021swsh-21,Oshawott,McDonald's Collection 2021,21,25,None,Oshawott McDonald's Collection 2021 21/25 pokemon card,,,
720,en-2021swsh-22,2021swsh-22,Froakie,McDonald's Collection 2021,22,25,None,Froakie McDonald's Collection 2021 22/25 pokemon card,,,
721,en-2021swsh-23,2021swsh-23,Popplio,McDonald's Collection 2021,23,25,None,Popplio McDonald's Collection 2021 23/25 pokemon card,,,
722,en-2021swsh-24,2021swsh-24,Sobble,McDonald's Collection 2021,24,25,None,Sobble McDonald's Collection 2021 24/25 pokemon card,,,
723,en-2021swsh-25,2021swsh-25,Pikachu,McDonald's Collection 2021,25,25,None,Pikachu McDonald's Collection 2021 25/25 pokemon card,,,
724,en-2021swsh-3,2021swsh-3,Treecko,McDonald's Collection 2021,3,25,None,Treecko McDonald's Collection 2021 3/25 pokemon card,,,
725,en-2021swsh-4,2021swsh-4,Turtwig,McDonald's Collection 2021,4,25,None,Turtwig McDonald's Collection 2021 4/25 pokemon card,,,
726,en-2021swsh-5,2021swsh-5,Snivy,McDonald's Collection 2021,5,25,None,Snivy McDonald's Collection 2021 5/25 pokemon card,,,
727,en-2021swsh-6,2021swsh-6,Chespin,McDonald's Collection 2021,6,25,None,Chespin McDonald's Collection 2021 6/25 pokemon card,,,
728,en-2021swsh-7,2021swsh-7,Rowlet,McDonald's Collection 2021,7,25,None,Rowlet McDonald's Collection 2021 7/25 pokemon card,,,
729,en-2021swsh-8,2021swsh-8,Grookey,McDonald's Collection 2021,8,25,None,Grookey McDonald's Collection 2021 8/25 pokemon card,,,
730,en-2021swsh-9,2021swsh-9,Charmander,McDonald's Collection 2021,9,25,None,Charmander McDonald's Collection 2021 9/25 pokemon card,,,
731,en-2022swsh-1,2022swsh-1,Ledyba,McDonald's Collection 2022,1,15,None,Ledyba McDonald's Collection 2022 1/15 pokemon card,,,
732,en-2022swsh-10,2022swsh-10,Tynamo,McDonald's Collection 2022,10,15,None,Tynamo McDonald's Collection 2022 10/15 pokemon card,,,
733,en-2022swsh-11,2022swsh-11,Cutiefly,McDonald's Collection 2022,11,15,None,Cutiefly McDonald's Collection 2022 11/15 pokemon card,,,
734,en-2022swsh-12,2022swsh-12,Bewear,McDonald's Collection 2022,12,15,None,Bewear McDonald's Collection 2022 12/15 pokemon card,,,
735,en-2022swsh-13,2022swsh-13,Pangoro,McDonald's Collection 2022,13,15,None,Pangoro McDonald's Collection 2022 13/15 pokemon card,,,
736,en-2022swsh-14,2022swsh-14,Drampa,McDonald's Collection 2022,14,15,None,Drampa McDonald's Collection 2022 14/15 pokemon card,,,
737,en-2022swsh-15,2022swsh-15,Smeargle,McDonald's Collection 2022,15,15,None,Smeargle McDonald's Collection 2022 15/15 pokemon card,,,
738,en-2022swsh-2,2022swsh-2,Rowlet,McDonald's Collection 2022,2,15,None,Rowlet McDonald's Collection 2022 2/15 pokemon card,,,
739,en-2022swsh-3,2022swsh-3,Gossifleur,McDonald's Collection 2022,3,15,None,Gossifleur McDonald's Collection 2022 3/15 pokemon card,,,
740,en-2022swsh-4,2022swsh-4,Growlithe,McDonald's Collection 2022,4,15,None,Growlithe McDonald's Collection 2022 4/15 pokemon card,,,
741,en-2022swsh-5,2022swsh-5,Victini,McDonald's Collection 2022,5,15,None,Victini McDonald's Collection 2022 5/15 pokemon card,,,
742,en-2022swsh-6,2022swsh-6,Lapras,McDonald's Collection 2022,6,15,None,Lapras McDonald's Collection 2022 6/15 pokemon card,,,
743,en-2022swsh-7,2022swsh-7,Pikachu,McDonald's Collection 2022,7,15,None,Pikachu McDonald's Collection 2022 7/15 pokemon card,,,
744,en-2022swsh-8,2022swsh-8,Chinchou,McDonald's Collection 2022,8,15,None,Chinchou McDonald's Collection 2022 8/15 pokemon card,,,
745,en-2022swsh-9,2022swsh-9,Flaaffy,McDonald's Collection 2022,9,15,None,Flaaffy McDonald's Collection 2022 9/15 pokemon card,,,
746,en-2023sv-1,2023sv-1,Sprigatito,McDonald's Collection 2023,1,15,None,Sprigatito McDonald's Collection 2023 1/15 pokemon card,,,
747,en-2023sv-10,2023sv-10,Sandaconda,McDonald's Collection 2023,10,15,None,Sandaconda McDonald's Collection 2023 10/15 pokemon card,,,
748,en-2023sv-11,2023sv-11,Klawf,McDonald's Collection 2023,11,15,None,Klawf McDonald's Collection 2023 11/15 pokemon card,,,
749,en-2023sv-12,2023sv-12,Blissey,McDonald's Collection 2023,12,15,None,Blissey McDonald's Collection 2023 12/15 pokemon card,,,
750,en-2023sv-13,2023sv-13,Tandemaus,McDonald's Collection 2023,13,15,None,Tandemaus McDonald's Collection 2023 13/15 pokemon card,,,
