#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1251,en-swsh12tg-TG30,swsh12tg-TG30,Duraludon VMAX,Silver Tempest Trainer Gallery,TG30,30,Secret Rare,Duraludon VMAX Silver Tempest Trainer Gallery TG30/30 pokemon card,,,
1422,en-tk-xy-n-25,tk-xy-n-25,Psychic Energy,XY trainer Kit (Noivern),25,30,Common,Psychic Energy XY trainer Kit (Noivern) 25/30 pokemon card,,,
1423,en-tk-xy-n-26,tk-xy-n-26,Darkness Energy,XY trainer Kit (Noivern),26,30,Common,Darkness Energy XY trainer Kit (Noivern) 26/30 pokemon card,,,
1424,en-tk-xy-n-27,tk-xy-n-27,Potion,XY trainer Kit (Noivern),27,30,Common,Potion XY trainer Kit (Noivern) 27/30 pokemon card,,,
1425,en-tk-xy-n-28,tk-xy-n-28,Darkness Energy,XY trainer Kit (Noivern),28,30,Common,Darkness Energy XY trainer Kit (Noivern) 28/30 pokemon card,,,
1426,en-tk-xy-n-29,tk-xy-n-29,Switch,XY trainer Kit (Noivern),29,30,Common,Switch XY trainer Kit (Noivern) 29/30 pokemon card,,,
1427,en-tk-xy-n-3,tk-xy-n-3,Arbok,XY trainer Kit (Noivern),3,30,Rare,Arbok XY trainer Kit (Noivern) 3/30 pokemon card,,,
1428,en-tk-xy-n-30,tk-xy-n-30,Noivern,XY trainer Kit (Noivern),30,30,None,Noivern XY trainer Kit (Noivern) 30/30 pokemon card,,,
1429,en-tk-xy-n-4,tk-xy-n-4,Bunnelby,XY trainer Kit (Noivern),4,30,Common,Bunnelby XY trainer Kit (Noivern) 4/30 pokemon card,,,
1430,en-tk-xy-n-5,tk-xy-n-5,Psychic Energy,XY trainer Kit (Noivern),5,30,Common,Psychic Energy XY trainer Kit (Noivern) 5/30 pokemon card,,,
1431,en-tk-xy-n-6,tk-xy-n-6,Psychic Energy,XY trainer Kit (Noivern),6,30,Common,Psychic Energy XY trainer Kit (Noivern) 6/30 pokemon card,,,
1432,en-tk-xy-n-7,tk-xy-n-7,Psychic Energy,XY trainer Kit (Noivern),7,30,Common,Psychic Energy XY trainer Kit (Noivern) 7/30 pokemon card,,,
1433,en-tk-xy-n-8,tk-xy-n-8,Psychic Energy,XY trainer Kit (Noivern),8,30,Common,Psychic Energy XY trainer Kit (Noivern) 8/30 pokemon card,,,
1434,en-tk-xy-n-9,tk-xy-n-9,Psychic Energy,XY trainer Kit (Noivern),9,30,Common,Psychic Energy XY trainer Kit (Noivern) 9/30 pokemon card,,,
1435,en-tk-xy-p-1,tk-xy-p-1,Glameow,XY trainer Kit (Pikachu Libre),1,30,Common,Glameow XY trainer Kit (Pikachu Libre) 1/30 pokemon card,,,
1436,en-tk-xy-p-10,tk-xy-p-10,Lightning Energy,XY trainer Kit (Pikachu Libre),10,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 10/30 pokemon card,,,
1437,en-tk-xy-p-11,tk-xy-p-11,Electrike,XY trainer Kit (Pikachu Libre),11,30,None,Electrike XY trainer Kit (Pikachu Libre) 11/30 pokemon card,,,
1438,en-tk-xy-p-12,tk-xy-p-12,Blitzle,XY trainer Kit (Pikachu Libre),12,30,Common,Blitzle XY trainer Kit (Pikachu Libre) 12/30 pokemon card,,,
1439,en-tk-xy-p-13,tk-xy-p-13,Manectric,XY trainer Kit (Pikachu Libre),13,30,None,Manectric XY trainer Kit (Pikachu Libre) 13/30 pokemon card,,,
1440,en-tk-xy-p-14,tk-xy-p-14,Pikachu Libre,XY trainer Kit (Pikachu Libre),14,30,None,Pikachu Libre XY trainer Kit (Pikachu Libre) 14/30 pokemon card,,,
1441,en-tk-xy-p-15,tk-xy-p-15,Electabuzz,XY trainer Kit (Pikachu Libre),15,30,Common,Electabuzz XY trainer Kit (Pikachu Libre) 15/30 pokemon card,,,
1442,en-tk-xy-p-16,tk-xy-p-16,Fletchling,XY trainer Kit (Pikachu Libre),16,30,None,Fletchling XY trainer Kit (Pikachu Libre) 16/30 pokemon card,,,
1443,en-tk-xy-p-17,tk-xy-p-17,Lightning Energy,XY trainer Kit (Pikachu Libre),17,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 17/30 pokemon card,,,
1444,en-tk-xy-p-18,tk-xy-p-18,Lightning Energy,XY trainer Kit (Pikachu Libre),18,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 18/30 pokemon card,,,
1445,en-tk-xy-p-19,tk-xy-p-19,Purugly,XY trainer Kit (Pikachu Libre),19,30,Uncommon,Purugly XY trainer Kit (Pikachu Libre) 19/30 pokemon card,,,
1446,en-tk-xy-p-2,tk-xy-p-2,Lightning Energy,XY trainer Kit (Pikachu Libre),2,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 2/30 pokemon card,,,
1447,en-tk-xy-p-20,tk-xy-p-20,Tierno,XY trainer Kit (Pikachu Libre),20,30,Uncommon,Tierno XY trainer Kit (Pikachu Libre) 20/30 pokemon card,,,
1448,en-tk-xy-p-21,tk-xy-p-21,Potion,XY trainer Kit (Pikachu Libre),21,30,Uncommon,Potion XY trainer Kit (Pikachu Libre) 21/30 pokemon card,,,
1449,en-tk-xy-p-22,tk-xy-p-22,Manectric,XY trainer Kit (Pikachu Libre),22,30,None,Manectric XY trainer Kit (Pikachu Libre) 22/30 pokemon card,,,
1450,en-tk-xy-p-23,tk-xy-p-23,Electabuzz,XY trainer Kit (Pikachu Libre),23,30,Common,Electabuzz XY trainer Kit (Pikachu Libre) 23/30 pokemon card,,,
1451,en-tk-xy-p-24,tk-xy-p-24,Purugly,XY trainer Kit (Pikachu Libre),24,30,Uncommon,Purugly XY trainer Kit (Pikachu Libre) 24/30 pokemon card,,,
1452,en-tk-xy-p-25,tk-xy-p-25,Electivire,XY trainer Kit (Pikachu Libre),25,30,Uncommon,Electivire XY trainer Kit (Pikachu Libre) 25/30 pokemon card,,,
1453,en-tk-xy-p-26,tk-xy-p-26,Blitzle,XY trainer Kit (Pikachu Libre),26,30,Common,Blitzle XY trainer Kit (Pikachu Libre) 26/30 pokemon card,,,
1454,en-tk-xy-p-27,tk-xy-p-27,Glameow,XY trainer Kit (Pikachu Libre),27,30,Common,Glameow XY trainer Kit (Pikachu Libre) 27/30 pokemon card,,,
1455,en-tk-xy-p-28,tk-xy-p-28,Electrike,XY trainer Kit (Pikachu Libre),28,30,None,Electrike XY trainer Kit (Pikachu Libre) 28/30 pokemon card,,,
1456,en-tk-xy-p-29,tk-xy-p-29,Lightning Energy,XY trainer Kit (Pikachu Libre),29,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 29/30 pokemon card,,,
1457,en-tk-xy-p-3,tk-xy-p-3,Lightning Energy,XY trainer Kit (Pikachu Libre),3,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 3/30 pokemon card,,,
1458,en-tk-xy-p-30,tk-xy-p-30,Pikachu Libre,XY trainer Kit (Pikachu Libre),30,30,None,Pikachu Libre XY trainer Kit (Pikachu Libre) 30/30 pokemon card,,,
1459,en-tk-xy-p-4,tk-xy-p-4,Electivire,XY trainer Kit (Pikachu Libre),4,30,Uncommon,Electivire XY trainer Kit (Pikachu Libre) 4/30 pokemon card,,,
1460,en-tk-xy-p-5,tk-xy-p-5,Lightning Energy,XY trainer Kit (Pikachu Libre),5,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 5/30 pokemon card,,,
1461,en-tk-xy-p-6,tk-xy-p-6,Lightning Energy,XY trainer Kit (Pikachu Libre),6,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 6/30 pokemon card,,,
1462,en-tk-xy-p-7,tk-xy-p-7,Taillow,XY trainer Kit (Pikachu Libre),7,30,None,Taillow XY trainer Kit (Pikachu Libre) 7/30 pokemon card,,,
1463,en-tk-xy-p-8,tk-xy-p-8,Lightning Energy,XY trainer Kit (Pikachu Libre),8,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 8/30 pokemon card,,,
1464,en-tk-xy-p-9,tk-xy-p-9,Lightning Energy,XY trainer Kit (Pikachu Libre),9,30,Common,Lightning Energy XY trainer Kit (Pikachu Libre) 9/30 pokemon card,,,
1465,en-tk-xy-su-1,tk-xy-su-1,Water Energy,XY trainer Kit (Suicune),1,30,Common,Water Energy XY trainer Kit (Suicune) 1/30 pokemon card,,,
1466,en-tk-xy-su-10,tk-xy-su-10,Water Energy,XY trainer Kit (Suicune),10,30,Common,Water Energy XY trainer Kit (Suicune) 10/30 pokemon card,,,
1467,en-tk-xy-su-11,tk-xy-su-11,Froakie,XY trainer Kit (Suicune),11,30,Common,Froakie XY trainer Kit (Suicune) 11/30 pokemon card,,,
1468,en-tk-xy-su-12,tk-xy-su-12,Seaking,XY trainer Kit (Suicune),12,30,Uncommon,Seaking XY trainer Kit (Suicune) 12/30 pokemon card,,,
1469,en-tk-xy-su-13,tk-xy-su-13,Goldeen,XY trainer Kit (Suicune),13,30,Common,Goldeen XY trainer Kit (Suicune) 13/30 pokemon card,,,
1470,en-tk-xy-su-14,tk-xy-su-14,Suicune,XY trainer Kit (Suicune),14,30,None,Suicune XY trainer Kit (Suicune) 14/30 pokemon card,,,
1471,en-tk-xy-su-15,tk-xy-su-15,Potion,XY trainer Kit (Suicune),15,30,Uncommon,Potion XY trainer Kit (Suicune) 15/30 pokemon card,,,
1472,en-tk-xy-su-16,tk-xy-su-16,Piplup,XY trainer Kit (Suicune),16,30,Common,Piplup XY trainer Kit (Suicune) 16/30 pokemon card,,,
1473,en-tk-xy-su-17,tk-xy-su-17,Water Energy,XY trainer Kit (Suicune),17,30,Common,Water Energy XY trainer Kit (Suicune) 17/30 pokemon card,,,
1474,en-tk-xy-su-18,tk-xy-su-18,Swanna,XY trainer Kit (Suicune),18,30,Uncommon,Swanna XY trainer Kit (Suicune) 18/30 pokemon card,,,
1475,en-tk-xy-su-19,tk-xy-su-19,Water Energy,XY trainer Kit (Suicune),19,30,Common,Water Energy XY trainer Kit (Suicune) 19/30 pokemon card,,,
1476,en-tk-xy-su-2,tk-xy-su-2,Water Energy,XY trainer Kit (Suicune),2,30,Common,Water Energy XY trainer Kit (Suicune) 2/30 pokemon card,,,
1477,en-tk-xy-su-20,tk-xy-su-20,Tierno,XY trainer Kit (Suicune),20,30,Uncommon,Tierno XY trainer Kit (Suicune) 20/30 pokemon card,,,
1478,en-tk-xy-su-21,tk-xy-su-21,Frogadier,XY trainer Kit (Suicune),21,30,Uncommon,Frogadier XY trainer Kit (Suicune) 21/30 pokemon card,,,
1479,en-tk-xy-su-22,tk-xy-su-22,Water Energy,XY trainer Kit (Suicune),22,30,Common,Water Energy XY trainer Kit (Suicune) 22/30 pokemon card,,,
1480,en-tk-xy-su-23,tk-xy-su-23,Froakie,XY trainer Kit (Suicune),23,30,Common,Froakie XY trainer Kit (Suicune) 23/30 pokemon card,,,
1481,en-tk-xy-su-24,tk-xy-su-24,Ducklett,XY trainer Kit (Suicune),24,30,Common,Ducklett XY trainer Kit (Suicune) 24/30 pokemon card,,,
1482,en-tk-xy-su-25,tk-xy-su-25,Seaking,XY trainer Kit (Suicune),25,30,Uncommon,Seaking XY trainer Kit (Suicune) 25/30 pokemon card,,,
1483,en-tk-xy-su-26,tk-xy-su-26,Goldeen,XY trainer Kit (Suicune),26,30,Common,Goldeen XY trainer Kit (Suicune) 26/30 pokemon card,,,
1484,en-tk-xy-su-27,tk-xy-su-27,Swanna,XY trainer Kit (Suicune),27,30,Uncommon,Swanna XY trainer Kit (Suicune) 27/30 pokemon card,,,
1485,en-tk-xy-su-28,tk-xy-su-28,Water Energy,XY trainer Kit (Suicune),28,30,Common,Water Energy XY trainer Kit (Suicune) 28/30 pokemon card,,,
1486,en-tk-xy-su-29,tk-xy-su-29,Tierno,XY trainer Kit (Suicune),29,30,Uncommon,Tierno XY trainer Kit (Suicune) 29/30 pokemon card,,,
1487,en-tk-xy-su-3,tk-xy-su-3,Water Energy,XY trainer Kit (Suicune),3,30,Common,Water Energy XY trainer Kit (Suicune) 3/30 pokemon card,,,
1488,en-tk-xy-su-30,tk-xy-su-30,Suicune,XY trainer Kit (Suicune),30,30,None,Suicune XY trainer Kit (Suicune) 30/30 pokemon card,,,
1489,en-tk-xy-su-4,tk-xy-su-4,Eevee,XY trainer Kit (Suicune),4,30,None,Eevee XY trainer Kit (Suicune) 4/30 pokemon card,,,
1490,en-tk-xy-su-5,tk-xy-su-5,Water Energy,XY trainer Kit (Suicune),5,30,Common,Water Energy XY trainer Kit (Suicune) 5/30 pokemon card,,,
1491,en-tk-xy-su-6,tk-xy-su-6,Frogadier,XY trainer Kit (Suicune),6,30,Uncommon,Frogadier XY trainer Kit (Suicune) 6/30 pokemon card,,,
1492,en-tk-xy-su-7,tk-xy-su-7,Ducklett,XY trainer Kit (Suicune),7,30,Common,Ducklett XY trainer Kit (Suicune) 7/30 pokemon card,,,
1493,en-tk-xy-su-8,tk-xy-su-8,Water Energy,XY trainer Kit (Suicune),8,30,Common,Water Energy XY trainer Kit (Suicune) 8/30 pokemon card,,,
1494,en-tk-xy-su-9,tk-xy-su-9,Water Energy,XY trainer Kit (Suicune),9,30,Common,Water Energy XY trainer Kit (Suicune) 9/30 pokemon card,,,
1495,en-tk-xy-sy-1,tk-xy-sy-1,Fletchling,XY trainer Kit (Sylveon),1,30,Common,Fletchling XY trainer Kit (Sylveon) 1/30 pokemon card,,,
1496,en-tk-xy-sy-10,tk-xy-sy-10,Fairy Energy,XY trainer Kit (Sylveon),10,30,Common,Fairy Energy XY trainer Kit (Sylveon) 10/30 pokemon card,,,
1497,en-tk-xy-sy-11,tk-xy-sy-11,Snubbull,XY trainer Kit (Sylveon),11,30,Common,Snubbull XY trainer Kit (Sylveon) 11/30 pokemon card,,,
1498,en-tk-xy-sy-12,tk-xy-sy-12,Fairy Energy,XY trainer Kit (Sylveon),12,30,Common,Fairy Energy XY trainer Kit (Sylveon) 12/30 pokemon card,,,
1499,en-tk-xy-sy-13,tk-xy-sy-13,Eevee,XY trainer Kit (Sylveon),13,30,Common,Eevee XY trainer Kit (Sylveon) 13/30 pokemon card,,,
1500,en-tk-xy-sy-14,tk-xy-sy-14,Granbull,XY trainer Kit (Sylveon),14,30,Common,Granbull XY trainer Kit (Sylveon) 14/30 pokemon card,,,
