#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes,VERIFIED
70,en-swsh10tg-TG30,swsh10tg-TG30,Shadow Rider Calyrex VMAX,Astral Radiance Trainer Gallery,TG30,30,Secret Rare,Shadow Rider Calyrex VMAX Astral Radiance Trainer Gallery TG30/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG030-shadow_rider_calyrex_vmax.png,https://pkmncards.com/card/shadow-rider-calyrex-vmax-astral-radiance-asr-tg30/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 dc4325dfa95ff6b3.,yes
71,en-xy8-146a,xy8-146a,Professor's Letter,BREAKthrough,146a,162,None,Professor's Letter BREAKthrough 146a/162 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-XY8-146a-professors_letter-yaa.jpg,https://pkmncards.com/card/professors-letter-breakthrough-bkt-146a/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 ea2eb7709425d166.,yes
72,en-bwp-BW04,bwp-BW04,Reshiram,BW Black Star Promos,BW04,101,Rare,Reshiram BW Black Star Promos BW04/101 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-Promo_BW-BW04-reshiram.jpg,https://pkmncards.com/card/reshiram-black-white-promos-bwp-bw004/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 6904ab5f2d64fea9.,yes
73,en-bwp-BW05,bwp-BW05,Zekrom,BW Black Star Promos,BW05,101,Rare,Zekrom BW Black Star Promos BW05/101 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-Promo_BW-BW05-zekrom.jpg,https://pkmncards.com/card/zekrom-black-white-promos-bwp-bw005/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 6a07cfe10437c0ab.,yes
74,en-bwp-BW96,bwp-BW96,Tornadus-EX,BW Black Star Promos,BW96,101,Common,Tornadus-EX BW Black Star Promos BW96/101 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-Promo_BW-BW96-tornadus_ex.jpg,https://pkmncards.com/card/tornadus-ex-black-white-promos-bwp-bw96/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 ed52f4d033984986.,yes
75,en-tk-bw-e-1,tk-bw-e-1,Lillipup,BW trainer Kit (Excadrill),1,30,None,Lillipup BW trainer Kit (Excadrill) 1/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-001-lillipup.png,https://pkmncards.com/card/lillipup-black-white-trainer-kit-excadrill-tk5e-1/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 897d49640feb5e3c.,yes
76,en-tk-bw-e-10,tk-bw-e-10,Fighting Energy,BW trainer Kit (Excadrill),10,30,None,Fighting Energy BW trainer Kit (Excadrill) 10/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-010-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-10/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 857a037e79998ffe.,yes
77,en-tk-bw-e-11,tk-bw-e-11,Timburr,BW trainer Kit (Excadrill),11,30,None,Timburr BW trainer Kit (Excadrill) 11/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-011-timburr.png,https://pkmncards.com/card/timburr-black-white-trainer-kit-excadrill-tk5e-11/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 149472e942fe91af.,yes
78,en-tk-bw-e-12,tk-bw-e-12,Audino,BW trainer Kit (Excadrill),12,30,None,Audino BW trainer Kit (Excadrill) 12/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-012-audino.png,https://pkmncards.com/card/audino-black-white-trainer-kit-excadrill-tk5e-12/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 1df866e42d89c8a7.,yes
79,en-tk-bw-e-13,tk-bw-e-13,Drilbur,BW trainer Kit (Excadrill),13,30,None,Drilbur BW trainer Kit (Excadrill) 13/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-013-drilbur.png,https://pkmncards.com/card/drilbur-black-white-trainer-kit-excadrill-tk5e-13/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 82317dfa1d914dec.,yes
80,en-tk-bw-e-14,tk-bw-e-14,Gurdurr,BW trainer Kit (Excadrill),14,30,None,Gurdurr BW trainer Kit (Excadrill) 14/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-014-gurdurr.png,https://pkmncards.com/card/gurdurr-black-white-trainer-kit-excadrill-tk5e-14/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 000facaec7fcf091.,yes
81,en-tk-bw-e-15,tk-bw-e-15,Potion,BW trainer Kit (Excadrill),15,30,None,Potion BW trainer Kit (Excadrill) 15/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-015-potion.png,https://pkmncards.com/card/potion-black-white-trainer-kit-excadrill-tk5e-15/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 63698062eb2a97ae.,yes
82,en-tk-bw-e-16,tk-bw-e-16,PlusPower,BW trainer Kit (Excadrill),16,30,None,PlusPower BW trainer Kit (Excadrill) 16/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-016-pluspower.png,https://pkmncards.com/card/pluspower-black-white-trainer-kit-excadrill-tk5e-16/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 999b12ac4849add6.,yes
83,en-tk-bw-e-17,tk-bw-e-17,Excadrill,BW trainer Kit (Excadrill),17,30,None,Excadrill BW trainer Kit (Excadrill) 17/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-017-excadrill.png,https://pkmncards.com/card/excadrill-black-white-trainer-kit-excadrill-tk5e-17/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 774f2c83dfba1f6c.,yes
84,en-tk-bw-e-18,tk-bw-e-18,Audino,BW trainer Kit (Excadrill),18,30,None,Audino BW trainer Kit (Excadrill) 18/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-018-audino.png,https://pkmncards.com/card/audino-black-white-trainer-kit-excadrill-tk5e-18/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a3cbfc71cb1a6f99.,yes
85,en-tk-bw-e-19,tk-bw-e-19,Herdier,BW trainer Kit (Excadrill),19,30,None,Herdier BW trainer Kit (Excadrill) 19/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-019-herdier.png,https://pkmncards.com/card/herdier-black-white-trainer-kit-excadrill-tk5e-19/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 74537c3a10536527.,yes
86,en-tk-bw-e-2,tk-bw-e-2,Fighting Energy,BW trainer Kit (Excadrill),2,30,None,Fighting Energy BW trainer Kit (Excadrill) 2/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-002-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-2/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 b0fd4b312153f4e8.,yes
87,en-tk-bw-e-20,tk-bw-e-20,Fighting Energy,BW trainer Kit (Excadrill),20,30,None,Fighting Energy BW trainer Kit (Excadrill) 20/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-020-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-20/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 95ca4b19c6aff0fe.,yes
88,en-tk-bw-e-21,tk-bw-e-21,Energy Search,BW trainer Kit (Excadrill),21,30,None,Energy Search BW trainer Kit (Excadrill) 21/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-021-energy_search.png,https://pkmncards.com/card/energy-search-black-white-trainer-kit-excadrill-tk5e-21/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 8297042fda9a09bf.,yes
89,en-tk-bw-e-22,tk-bw-e-22,Fighting Energy,BW trainer Kit (Excadrill),22,30,None,Fighting Energy BW trainer Kit (Excadrill) 22/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-022-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-22/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 e9ac0dadb5fd38fa.,yes
90,en-tk-bw-e-23,tk-bw-e-23,Potion,BW trainer Kit (Excadrill),23,30,None,Potion BW trainer Kit (Excadrill) 23/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-023-potion.png,https://pkmncards.com/card/potion-black-white-trainer-kit-excadrill-tk5e-23/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 f5011af7bb80eb92.,yes
91,en-tk-bw-e-24,tk-bw-e-24,Pokémon Communication,BW trainer Kit (Excadrill),24,30,None,Pokémon Communication BW trainer Kit (Excadrill) 24/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-024-pokemon_communication.png,https://pkmncards.com/card/pokemon-communication-black-white-trainer-kit-excadrill-tk5e-24/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 4a0097bd8c0e473f.,yes
92,en-tk-bw-e-25,tk-bw-e-25,Drilbur,BW trainer Kit (Excadrill),25,30,None,Drilbur BW trainer Kit (Excadrill) 25/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-025-drilbur.png,https://pkmncards.com/card/drilbur-black-white-trainer-kit-excadrill-tk5e-25/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 8e5d0031fa87e44d.,yes
93,en-tk-bw-e-26,tk-bw-e-26,Fighting Energy,BW trainer Kit (Excadrill),26,30,None,Fighting Energy BW trainer Kit (Excadrill) 26/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-026-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-26/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a84dec6f761f3ce5.,yes
94,en-tk-bw-e-27,tk-bw-e-27,Lillipup,BW trainer Kit (Excadrill),27,30,None,Lillipup BW trainer Kit (Excadrill) 27/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-027-lillipup.png,https://pkmncards.com/card/lillipup-black-white-trainer-kit-excadrill-tk5e-27/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 5aeaa311d2f5c72f.,yes
95,en-tk-bw-e-28,tk-bw-e-28,Fighting Energy,BW trainer Kit (Excadrill),28,30,None,Fighting Energy BW trainer Kit (Excadrill) 28/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-028-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-28/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 8117d9ef4590af0b.,yes
96,en-tk-bw-e-29,tk-bw-e-29,Timburr,BW trainer Kit (Excadrill),29,30,None,Timburr BW trainer Kit (Excadrill) 29/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-029-timburr.png,https://pkmncards.com/card/timburr-black-white-trainer-kit-excadrill-tk5e-29/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 12f61d79f987adaa.,yes
97,en-tk-bw-e-3,tk-bw-e-3,Fighting Energy,BW trainer Kit (Excadrill),3,30,None,Fighting Energy BW trainer Kit (Excadrill) 3/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-003-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-3/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 37f27af33425fde1.,yes
98,en-tk-bw-e-30,tk-bw-e-30,Excadrill,BW trainer Kit (Excadrill),30,30,None,Excadrill BW trainer Kit (Excadrill) 30/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-030-excadrill.png,https://pkmncards.com/card/excadrill-black-white-trainer-kit-excadrill-tk5e-30/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 95502c8175830a87.,yes
99,en-tk-bw-e-4,tk-bw-e-4,Energy Switch,BW trainer Kit (Excadrill),4,30,None,Energy Switch BW trainer Kit (Excadrill) 4/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-004-energy_switch.png,https://pkmncards.com/card/energy-switch-black-white-trainer-kit-excadrill-tk5e-4/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a26713c2ca027d33.,yes
100,en-tk-bw-e-5,tk-bw-e-5,Fighting Energy,BW trainer Kit (Excadrill),5,30,None,Fighting Energy BW trainer Kit (Excadrill) 5/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-005-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-5/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a0a8bf6fb91ae141.,yes
101,en-tk-bw-e-6,tk-bw-e-6,Fighting Energy,BW trainer Kit (Excadrill),6,30,None,Fighting Energy BW trainer Kit (Excadrill) 6/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-006-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-6/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 440ea80b3975bdb5.,yes
102,en-tk-bw-e-7,tk-bw-e-7,Fighting Energy,BW trainer Kit (Excadrill),7,30,None,Fighting Energy BW trainer Kit (Excadrill) 7/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-007-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-7/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 b94581f9b5ae3296.,yes
103,en-tk-bw-e-8,tk-bw-e-8,Fighting Energy,BW trainer Kit (Excadrill),8,30,None,Fighting Energy BW trainer Kit (Excadrill) 8/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-008-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-8/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 c97d47bb60109afa.,yes
104,en-tk-bw-e-9,tk-bw-e-9,Fighting Energy,BW trainer Kit (Excadrill),9,30,None,Fighting Energy BW trainer Kit (Excadrill) 9/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5B-009-fighting_energy.png,https://pkmncards.com/card/fighting-energy-black-white-trainer-kit-excadrill-tk5e-9/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 02a06175e5a8f818.,yes
105,en-tk-bw-z-1,tk-bw-z-1,Purrloin,BW trainer Kit (Zoroark),1,30,None,Purrloin BW trainer Kit (Zoroark) 1/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-001-purrloin.png,https://pkmncards.com/card/purrloin-black-white-trainer-kit-zoroark-tk5z-1/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 8a4040f2af829696.,yes
106,en-tk-bw-z-10,tk-bw-z-10,Darkness Energy,BW trainer Kit (Zoroark),10,30,None,Darkness Energy BW trainer Kit (Zoroark) 10/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-010-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-10/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 bcfad29767b01575.,yes
107,en-tk-bw-z-11,tk-bw-z-11,PlusPower,BW trainer Kit (Zoroark),11,30,None,PlusPower BW trainer Kit (Zoroark) 11/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-011-pluspower.png,https://pkmncards.com/card/pluspower-black-white-trainer-kit-zoroark-tk5z-11/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 7ec5ab90610183d8.,yes
108,en-tk-bw-z-12,tk-bw-z-12,Patrat,BW trainer Kit (Zoroark),12,30,None,Patrat BW trainer Kit (Zoroark) 12/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-012-patrat.png,https://pkmncards.com/card/patrat-black-white-trainer-kit-zoroark-tk5z-12/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 0ef5bd3c9ae64860.,yes
109,en-tk-bw-z-13,tk-bw-z-13,Zorua,BW trainer Kit (Zoroark),13,30,None,Zorua BW trainer Kit (Zoroark) 13/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-013-zorua.png,https://pkmncards.com/card/zorua-black-white-trainer-kit-zoroark-tk5z-13/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 32267cffa3a5ebf5.,yes
110,en-tk-bw-z-14,tk-bw-z-14,Pidove,BW trainer Kit (Zoroark),14,30,None,Pidove BW trainer Kit (Zoroark) 14/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-014-pidove.png,https://pkmncards.com/card/pidove-black-white-trainer-kit-zoroark-tk5z-14/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a327733d41e4be9b.,yes
111,en-tk-bw-z-15,tk-bw-z-15,Tranquill,BW trainer Kit (Zoroark),15,30,None,Tranquill BW trainer Kit (Zoroark) 15/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-015-tranquill.png,https://pkmncards.com/card/tranquill-black-white-trainer-kit-zoroark-tk5z-15/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 395c3d4c3da74433.,yes
112,en-tk-bw-z-16,tk-bw-z-16,Energy Retrieval,BW trainer Kit (Zoroark),16,30,None,Energy Retrieval BW trainer Kit (Zoroark) 16/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-016-energy_retrieval.png,https://pkmncards.com/card/energy-retrieval-black-white-trainer-kit-zoroark-tk5z-16/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 2c402941e17d85d4.,yes
113,en-tk-bw-z-17,tk-bw-z-17,Zoroark,BW trainer Kit (Zoroark),17,30,None,Zoroark BW trainer Kit (Zoroark) 17/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-017-zoroark.png,https://pkmncards.com/card/zoroark-black-white-trainer-kit-zoroark-tk5z-17/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 649c1f3dd5452b7c.,yes
114,en-tk-bw-z-18,tk-bw-z-18,Pokémon Communication,BW trainer Kit (Zoroark),18,30,None,Pokémon Communication BW trainer Kit (Zoroark) 18/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-018-pokemon_communication.png,https://pkmncards.com/card/pokemon-communication-black-white-trainer-kit-zoroark-tk5z-18/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 01e14982ccada86a.,yes
115,en-tk-bw-z-19,tk-bw-z-19,Minccino,BW trainer Kit (Zoroark),19,30,None,Minccino BW trainer Kit (Zoroark) 19/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-019-minccino.png,https://pkmncards.com/card/minccino-black-white-trainer-kit-zoroark-tk5z-19/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 64c2186022894857.,yes
116,en-tk-bw-z-2,tk-bw-z-2,Watchog,BW trainer Kit (Zoroark),2,30,None,Watchog BW trainer Kit (Zoroark) 2/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-002-watchog.png,https://pkmncards.com/card/watchog-black-white-trainer-kit-zoroark-tk5z-2/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 1ce3eb299efd1e4a.,yes
117,en-tk-bw-z-20,tk-bw-z-20,Darkness Energy,BW trainer Kit (Zoroark),20,30,None,Darkness Energy BW trainer Kit (Zoroark) 20/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-020-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-20/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 53fccf2d318e8c34.,yes
118,en-tk-bw-z-21,tk-bw-z-21,Pidove,BW trainer Kit (Zoroark),21,30,None,Pidove BW trainer Kit (Zoroark) 21/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-021-pidove.png,https://pkmncards.com/card/pidove-black-white-trainer-kit-zoroark-tk5z-21/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 e3cd66a91408db39.,yes
119,en-tk-bw-z-22,tk-bw-z-22,Darkness Energy,BW trainer Kit (Zoroark),22,30,None,Darkness Energy BW trainer Kit (Zoroark) 22/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-022-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-22/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 746cf26242761a73.,yes
120,en-tk-bw-z-23,tk-bw-z-23,Zorua,BW trainer Kit (Zoroark),23,30,None,Zorua BW trainer Kit (Zoroark) 23/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-023-zorua.png,https://pkmncards.com/card/zorua-black-white-trainer-kit-zoroark-tk5z-23/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 ce16ee45b92f9e90.,yes
121,en-tk-bw-z-24,tk-bw-z-24,Darkness Energy,BW trainer Kit (Zoroark),24,30,None,Darkness Energy BW trainer Kit (Zoroark) 24/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-024-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-24/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 5b9fee121b502ae5.,yes
122,en-tk-bw-z-25,tk-bw-z-25,Purrloin,BW trainer Kit (Zoroark),25,30,None,Purrloin BW trainer Kit (Zoroark) 25/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-025-purrloin.png,https://pkmncards.com/card/purrloin-black-white-trainer-kit-zoroark-tk5z-25/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 55e1759b9b7a44f3.,yes
123,en-tk-bw-z-26,tk-bw-z-26,Darkness Energy,BW trainer Kit (Zoroark),26,30,None,Darkness Energy BW trainer Kit (Zoroark) 26/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-026-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-26/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 4164596fd0a89c6a.,yes
124,en-tk-bw-z-27,tk-bw-z-27,Energy Search,BW trainer Kit (Zoroark),27,30,None,Energy Search BW trainer Kit (Zoroark) 27/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-027-energy_search.png,https://pkmncards.com/card/energy-search-black-white-trainer-kit-zoroark-tk5z-27/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 bf6c9740317659a4.,yes
125,en-tk-bw-z-28,tk-bw-z-28,Darkness Energy,BW trainer Kit (Zoroark),28,30,None,Darkness Energy BW trainer Kit (Zoroark) 28/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-028-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-28/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 37ff2698dbc7548a.,yes
126,en-tk-bw-z-29,tk-bw-z-29,Patrat,BW trainer Kit (Zoroark),29,30,None,Patrat BW trainer Kit (Zoroark) 29/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-029-patrat.png,https://pkmncards.com/card/patrat-black-white-trainer-kit-zoroark-tk5z-29/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 45abac08c2d8b42b.,yes
127,en-tk-bw-z-3,tk-bw-z-3,Darkness Energy,BW trainer Kit (Zoroark),3,30,None,Darkness Energy BW trainer Kit (Zoroark) 3/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-003-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-3/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 fef682156d267bab.,yes
128,en-tk-bw-z-30,tk-bw-z-30,Zoroark,BW trainer Kit (Zoroark),30,30,None,Zoroark BW trainer Kit (Zoroark) 30/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-030-zoroark.png,https://pkmncards.com/card/zoroark-black-white-trainer-kit-zoroark-tk5z-30/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 9fb0e8532008dc51.,yes
129,en-tk-bw-z-4,tk-bw-z-4,Minccino,BW trainer Kit (Zoroark),4,30,None,Minccino BW trainer Kit (Zoroark) 4/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-004-minccino.png,https://pkmncards.com/card/minccino-black-white-trainer-kit-zoroark-tk5z-4/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 6237d211ea202886.,yes
130,en-tk-bw-z-5,tk-bw-z-5,Darkness Energy,BW trainer Kit (Zoroark),5,30,None,Darkness Energy BW trainer Kit (Zoroark) 5/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-005-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-5/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 3106f7a22d7928b1.,yes
131,en-tk-bw-z-6,tk-bw-z-6,Darkness Energy,BW trainer Kit (Zoroark),6,30,None,Darkness Energy BW trainer Kit (Zoroark) 6/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-TK5A-006-darkness_energy.png,https://pkmncards.com/card/darkness-energy-black-white-trainer-kit-zoroark-tk5z-6/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 ecf74f947b62af92.,yes
